Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	3:Protein inferred from homology	40.88	1.0000	0.9990	9	2	8	15	3	14	150318638	13042428	150318638	10K(304.2071), 12K(304.2071), 15K(304.2071), 2K(304.2071), 4C(57.0214), 4K(304.2071), 6K(304.2071), 9K(304.2071), N-term(304.2071)			2515980.6934	2394520.4219	3074882.8086	2904728.0508	2982780.3086	2824240.5625	3001057.1445	3103551.2109	2637918.5371	2844734.1797	2925752.3711	3455418.8281	2567660.6523	2898847.4492	2593578.6133	2335762.8438	2035879.4395	2211539.4375
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1:Experimental evidence at protein level	17.54	1.0000	0.9990	3	0	3	7	0	7	52995658	     0	52995658	10K(304.2071), 15K(304.2071), 15M(15.9949), 22K(304.2071), N-term(304.2071)		sp|P0DPI2|GAL3A_HUMAN	1351733.6348	1256171.8398	1595906.2520	1514074.3867	1504199.9316	1420975.5195	1592626.8711	1599786.5664	1357269.7363	1762295.0625	1811128.7812	2134879.1719	1623795.7227	1764116.7422	1659076.1250	744551.9883	647996.6660	673709.9189
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens	RNA-binding protein 47	1:Experimental evidence at protein level	14.00	1.0000	0.9990	6	6	6	9	9	9	24047827	24047827	24047827	19C(57.0214), 26K(304.2071), 2M(15.9949), 30K(304.2071), 3M(15.9949), 7M(15.9949), 8K(304.2071), 9C(57.0214), N-term(304.2071)			483825.6094	445422.6934	618354.4688	588565.8984	587080.6543	573703.1055	579851.4844	544876.2168	502576.5938	587174.5547	593770.9961	770882.1562	614221.3770	690714.8262	636480.2949	507773.1348	472753.4297	490007.0840
sp|A0AVF1|IFT56_HUMAN	A0AVF1	IFT56_HUMAN	TTC26	554	Homo sapiens	Intraflagellar transport protein 56	2:Experimental evidence at transcript level	9.57	1.0000	0.9990	5	5	5	5	5	5	13382344	13382344	13382344	11M(15.9949), 12K(304.2071), 13K(304.2071), N-term(304.2071)			245265.9414	234922.2227	331156.2227	291550.7617	293472.6523	284911.5820	324176.6016	312124.2812	271552.3555	345706.9648	362865.3750	431120.9688	345090.1172	380253.2031	363464.9883	199090.7891	163785.6367	181880.9746
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	1:Experimental evidence at protein level	17.49	1.0000	0.9990	17	17	17	47	47	47	327611520	327611520	327611520	10C(57.0214), 10K(304.2071), 12K(304.2071), 13K(304.2071), 14M(15.9949), 16K(304.2071), 17K(304.2071), 1C(57.0214), 2C(57.0214), 2K(304.2071), 5K(304.2071), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8C(57.0214), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			8008045.0996	7491779.2441	9831341.0410	8754155.2617	9034087.3086	8866970.1562	9418133.1641	9416732.5820	8243584.1445	10120415.4414	10701784.2188	13059270.6211	9726667.5430	11057152.6094	10599882.5625	8590654.8164	7641540.3906	8104165.9453
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	Extended synaptotagmin-2	1:Experimental evidence at protein level	12.38	1.0000	0.9990	10	10	10	12	12	12	91097848	91097848	91097848	12K(304.2071), 2K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			1873849.8535	1804521.8516	2456726.9727	2258068.8203	2236465.6836	2221301.5703	2309607.7617	2337099.1289	1996296.3125	2475156.7930	2738062.8906	3195760.8828	2611500.8359	2875253.9648	2724432.7031	2281332.7324	2087267.3047	2155574.5879
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens	Mediator of RNA polymerase II transcription subunit 19	1:Experimental evidence at protein level	22.54	1.0000	0.9990	4	4	4	7	7	7	61422982	61422982	61422982	10C(57.0214), 16K(304.2071), 2M(15.9949), 8K(304.2071), 8M(15.9949), N-term(304.2071)			419810.0547	368652.6777	528087.1211	484645.3203	480992.1367	487493.6016	531421.7031	533542.7500	460653.3398	472293.6348	513445.7578	582701.5430	426904.1582	508816.7930	466031.2969	619628.0508	538640.2207	540012.7949
sp|A0JNW5|UH1BL_HUMAN	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	1464	Homo sapiens	UHRF1-binding protein 1-like	1:Experimental evidence at protein level	2.60	1.0000	0.9990	4	3	4	4	3	4	7992852	7524378	7992852	7K(304.2071), 8K(304.2071), N-term(304.2071)			278081.7695	266735.3086	372973.0234	327007.3574	312660.6094	300343.1582	355593.7656	329013.6641	318838.8281	352581.6836	373753.3477	430938.7500	354745.9648	429155.1250	386233.8398	209418.4121	188670.4883	200778.0078
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	Shootin-1	1:Experimental evidence at protein level	9.35	1.0000	0.9990	5	5	5	6	6	6	4392942	4392942	4392942	10K(304.2071), 14K(304.2071), 17K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			254792.9336	226604.3477	322778.3906	296110.0859	299292.1797	291909.0820	318101.5781	317989.0977	273894.8477	332622.7773	348780.5078	407367.4219	344774.3828	367427.8047	361175.9922	522180.0703	467717.7422	479498.8984
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens	Transmembrane protein 223	1:Experimental evidence at protein level	4.95	1.0000	0.9990	1	1	1	2	2	2	3674599	3674599	3674599	10K(304.2071), 6M(15.9949), N-term(304.2071)			328503.5469	295535.8906	384917.2656	344097.3281	341470.0625	323894.0625	348832.2500	351975.9844	298581.4375	339814.9375	346299.1250	420400.5156	292023.0938	349831.0156	314234.2812	148282.3320	131195.0703	129289.5195
sp|A1A4S6|RHG10_HUMAN	A1A4S6	RHG10_HUMAN	ARHGAP10	786	Homo sapiens	Rho GTPase-activating protein 10	1:Experimental evidence at protein level	8.40	1.0000	0.9982	7	6	6	7	6	6	12664134	7062555	12664134	10K(304.2071), 1K(304.2071), 4M(15.9949), 7K(304.2071), N-term(304.2071)			331732.5078	312992.1953	437504.6367	379365.9570	402044.4727	387659.9766	406081.4023	411596.6641	353227.5742	420875.5000	461419.5078	535661.3789	420372.9180	476412.0312	455434.9883	477708.7461	438412.0977	445643.9180
sp|A1L020|MEX3A_HUMAN	A1L020	MEX3A_HUMAN	MEX3A	520	Homo sapiens	RNA-binding protein MEX3A	1:Experimental evidence at protein level	30.00	1.0000	0.9990	12	11	12	19	18	19	57068079	57068079	57068079	12K(304.2071), 15K(304.2071), 7M(15.9949), 8C(57.0214), 9C(57.0214), 9K(304.2071), 9M(15.9949), N-term(304.2071)			1477833.2539	1441859.1738	1959487.0000	1773505.9062	1710234.4727	1712209.3086	1896924.2891	1860941.1641	1602290.0312	2058240.6172	2226581.7930	2615626.3438	2023352.4336	2216685.8398	2026704.2383	1010914.8418	904434.2461	929513.7051
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens	Pleckstrin homology domain-containing family G member 3	1:Experimental evidence at protein level	9.93	1.0000	0.9990	11	10	11	15	13	15	45101440	38073324	45101440	10K(304.2071), 11K(304.2071), 13K(304.2071), 15C(57.0214), 18K(304.2071), 4C(57.0214), 5C(57.0214), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			2077548.4180	1969882.9551	2581381.0801	2430284.4082	2334794.1484	2330194.7012	2542710.0957	2545070.3730	2198771.4863	2248588.3730	2328846.7773	2758295.9258	2191344.0742	2507161.2148	2279231.1641	1645701.6543	1397546.6494	1526618.6934
sp|A1YPR0|ZBT7C_HUMAN	A1YPR0	ZBT7C_HUMAN	ZBTB7C	619	Homo sapiens	Zinc finger and BTB domain-containing protein 7C	2:Experimental evidence at transcript level	2.58	1.0000	0.9965	1	1	1	11	11	11	65054458	65054458	65054458	10C(57.0214), 13C(57.0214), 6K(304.2071), 9M(15.9949), N-term(304.2071)			244287.5547	224652.1855	299452.1621	263404.0293	290567.4297	266917.7988	297412.0391	309733.0742	250380.6660	301393.9297	340491.0898	388441.4023	291673.1016	327540.7539	304278.2344	113585.1221	102512.2373	113735.5078
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens	Neuroblastoma-amplified sequence	1:Experimental evidence at protein level	6.96	1.0000	0.9990	17	17	17	20	20	20	66873216	66873216	66873216	10K(304.2071), 12K(304.2071), 2K(304.2071), 3C(57.0214), 3K(304.2071), 5K(304.2071), 6K(304.2071), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)			1927178.7617	1844161.8672	2425895.0273	2189635.4180	2240408.6211	2207928.2461	2351704.2109	2369722.6523	2056542.3320	2629203.2422	2815523.0859	3374680.4219	2727908.6250	2939658.1641	2765213.3984	2145470.0859	1881544.2656	1928583.6406
sp|A2RUB6|CCD66_HUMAN	A2RUB6	CCD66_HUMAN	CCDC66	948	Homo sapiens	Coiled-coil domain-containing protein 66	1:Experimental evidence at protein level	3.48	1.0000	0.9988	4	3	3	4	3	3	45777627	3018126	45777627	8K(304.2071), 9K(304.2071), N-term(304.2071)			195202.8281	178837.0000	238129.0391	238679.5625	221280.3438	226160.2500	241744.6250	234202.4688	208031.8047	221409.5625	227392.4766	271353.4922	188719.6484	221653.6172	213479.2344	174740.5859	149019.4375	156298.3125
sp|A2RUC4|TYW5_HUMAN	A2RUC4	TYW5_HUMAN	TYW5	315	Homo sapiens	tRNA wybutosine-synthesizing protein 5	1:Experimental evidence at protein level	12.06	1.0000	0.9990	4	4	4	4	4	4	15115604	15115604	15115604	1K(304.2071), N-term(304.2071)			499869.9570	474467.5977	633778.5547	567839.7109	556214.1836	548399.1367	602822.1055	595219.3164	507338.7812	680346.9453	715634.2656	867082.6250	629231.1328	724027.9688	692373.2578	440615.5938	401004.5195	451577.5156
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens	von Willebrand factor A domain-containing protein 8	1:Experimental evidence at protein level	11.34	1.0000	0.9990	20	20	20	23	23	23	304195592	304195592	304195592	10K(304.2071), 12K(304.2071), 14K(304.2071), 15K(304.2071), 19C(57.0214), 22K(304.2071), 3C(57.0214), 8K(304.2071), 8M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)			2910564.4375	2811724.5586	3609813.4609	3249105.9023	3113398.9609	3111910.2871	3388366.4961	3364262.5938	2957716.4453	4042384.8672	4362159.5586	5278798.9023	3510702.2383	3945917.8438	3673725.1875	1956542.9590	1763511.2002	1941282.9053
